Last_Updat,Age_F_Less,Age_F_01_0,Age_F_10_1,Age_F_20_2,Age_F_30_3,Age_F_40_4,Age_F_50_5,Age_F_60_6,Age_F_70_7,Age_F_80Pl,Age_F_Unk,Age_M_Less,Age_M_01_0,Age_M_10_1,Age_M_20_2,Age_M_30_3,Age_M_40_4,Age_M_50_5,Age_M_60_6,Age_M_70_7,Age_M_80Pl,Age_M_Unk,Age_Ttl_Le,Age_Ttl_01,Age_Ttl_10,Age_Ttl_20,Age_Ttl_30,Age_Ttl_40,Age_Ttl_50,Age_Ttl_60,Age_Ttl_70,Age_Ttl_80,Age_Ttl_Un,Sex_Ttl_F,Sex_Ttl_M,Sex_Ttl_Un,Race_Asian,Race_Black,Race_White,Race_Other,Race_Unk,Eth_Non_Hi,Eth_Hispan,Eth_Unk,FID,Record_Status,AmerIndAska,PacificIslander
2021/03/26 21:00:00+00,212,1604,4296,10620,8147,5924,4458,2609,1375,1053,0,266,1650,3852,9577,8033,5838,4444,2598,1195,630,0,481,3273,8173,20292,16235,11796,8931,5216,2577,1687,0,40298,38083,280,3,7.5,57,14.6,17.4,36.2,45.3,18.5,354,Past,0.4,0.1
2021/03/27 21:00:00+00,213,1608,4305,10641,8162,5934,4466,2613,1377,1054,0,266,1652,3869,9611,8052,5848,4450,2599,1197,631,0,482,3279,8199,20347,16269,11816,8945,5221,2581,1689,0,40373,38175,280,2.971,7.544,56.948,14.618,17.434,36.185,45.255,18.558,355,Past,0.366,0.117
2021/03/28 21:00:00+00,213,1609,4313,10652,8171,5938,4468,2615,1378,1055,0,266,1655,3875,9626,8056,5851,4456,2600,1198,631,0,482,3283,8213,20374,16282,11823,8953,5224,2583,1690,0,40412,38214,281,2.972,7.542,56.944,14.619,17.437,36.183,45.258,18.558,356,Past,0.366,0.116
2021/03/29 21:00:00+00,213,1609,4318,10665,8178,5947,4470,2616,1377,1056,0,267,1660,3878,9639,8073,5854,4460,2604,1198,631,0,483,3288,8221,20399,16306,11836,8959,5229,2582,1691,0,40449,38264,281,2.971,7.539,56.938,14.632,17.433,36.206,45.217,18.576,357,Past,0.37,0.117
2021/03/30 21:00:00+00,213,1610,4323,10683,8188,5953,4478,2618,1378,1056,0,267,1662,3879,9659,8081,5857,4463,2606,1198,632,0,483,3291,8227,20437,16324,11845,8970,5233,2583,1692,0,40500,38304,281,3,7.5,57,14.6,17.4,36.2,45.2,18.6,358,Past,0.4,0.1
2021/03/31 21:00:00+00,213,1610,4328,10708,8202,5958,4484,2625,1379,1056,0,267,1662,3891,9680,8097,5861,4470,2612,1199,633,0,483,3291,8244,20483,16355,11854,8983,5246,2585,1693,0,40563,38372,282,2.984,7.525,56.971,14.644,17.388,36.269,45.147,18.584,359,Past,0.373,0.116
2021/04/01 21:00:00+00,213,1610,4333,10719,8212,5966,4486,2631,1381,1056,0,267,1665,3895,9699,8118,5866,4475,2617,1200,633,0,483,3294,8253,20513,16385,11867,8991,5257,2588,1693,0,40607,38435,282,2.98,7.521,56.984,14.64,17.376,36.29,45.107,18.603,360,Past,0.3777,0.116
2021/04/02 21:00:00+00,212,1613,4337,10733,8220,5971,4492,2633,1382,1056,0,267,1668,3900,9721,8124,5873,4481,2621,1202,633,1,482,3300,8262,20549,16399,11879,9003,5263,2591,1693,1,40649,38491,282,2.986,7.531,56.985,14.641,17.364,36.315,45.075,18.611,361,Past,0.376,0.115
2021/04/03 21:00:00+00,212,1618,4341,10744,8227,5975,4496,2634,1383,1056,0,267,1669,3903,9733,8132,5878,4484,2622,1202,634,1,482,3306,8269,20572,16414,11888,9010,5265,2592,1694,0,40686,38525,282,2.99,7.531,56.982,14.638,17.367,36.314,45.06,18.626,362,Past,0.376,0.115
2021/04/04 21:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,Past,,
